ANTH,003,10142,161,697331073666777129
CSE,107,16556,116,697331073666777129
CSE,107,16557,27,697331073666777129
ENGR,057,10130,143,697331073666777129
ENGR,057,13033,29,697331073666777129
CSE,162,15905,59,697331073666777129
CSE,162,15907,29,697331073666777129
CSE,155,16566,113,697331073666777129
CSE,155,16567,26,697331073666777129
